id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
15;839727;Mystery|Drama;tt0033467;en;Citizen Kane;Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;3.82689;RKO Radio Pictures;United States of America;30/04/1941;23217674;119;English;Released;It's Terrific!;Citizen Kane;7.9;1110;2;1;1
16;12800000;Drama|Crime|Music;tt0168629;en;Dancer in the Dark;Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.;2.106217;Fine Line Features;Argentina;17/05/2000;40031879;140;English;Released;You don't need eyes to see.;Dancer in the Dark;7.6;348;26;12;1
17;0;Horror|Thriller|Mystery;tt0411267;en;The Dark;Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.;1.253999;Constantin Film;Germany;26/01/2006;0;87;English;Released;One of the living for one of the dead.;The Dark;5.6;69;4;2;2
18;90000000;Adventure|Fantasy|Action|Thriller|Science Fiction;tt0119116;en;The Fifth Element;In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.;9.233786;Columbia Pictures;France;07/05/1997;263920180;126;English;Released;There is no future without it.;The Fifth Element;7.2;3629;2;1;3
19;92620000;Drama|Science Fiction;tt0017136;de;Metropolis;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;3.669986;Paramount Pictures;Germany;10/01/1927;650422;153;No Language;Released;There can be no understanding between the hands and the brain unless the heart acts as mediator.;Metropolis;8.0;614;2;1;1
20;0;Drama|Romance;tt0314412;en;My Life Without Me;A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.;0.911462;El Deseo;Canada;07/03/2003;9726954;106;English;Released;;My Life Without Me;7.2;75;2;2;1
21;0;Documentary;tt0060371;en;The Endless Summer;The Endless Summer, by Bruce Brown, is one of the first and most influential surf movies of all times. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which back in 1965 was off-season for surfing) in search of the perfect wave and an endless summer.;0.144179;Bruce Brown Films;United States of America;15/06/1966;0;95;English;Released;;The Endless Summer;7.8;20;1;1;1
22;140000000;Adventure|Fantasy|Action;tt0325980;en;Pirates of the Caribbean: The Curse of the Black Pearl;Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.;28.769026;Walt Disney Pictures;United States of America;09/07/2003;655011224;143;English;Released;Prepare to be blown out of the water.;Pirates of the Caribbean: The Curse of the Black Pearl;7.4;6368;2;1;1
24;30000000;Action|Crime;tt0266697;en;Kill Bill: Vol. 1;An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.;7.891837;Miramax Films;United States of America;10/10/2003;180949000;111;English;Released;Go for the kill.;Kill Bill: Vol. 1;7.7;4486;3;1;3
25;72000000;Drama|War;tt0418763;en;Jarhead;Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.;2.41718;Universal Pictures;Germany;04/11/2005;96889998;125;English;Released;Welcome to the suck.;Jarhead;6.5;722;4;2;4
26;1400000;Drama;tt0352994;en;LaLehet Al HaMayim;Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country during which, Axel challenges Eyal's values.;0.455665;Lama Films;Israel;05/02/2004;0;103;العربية;Released;He was trained to hate until he met the enemy.;Walk on Water;6.4;18;2;2;6
27;1000000;Drama|Music|Romance;tt0411705;en;9 Songs;Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.;2.939728;Revolution Films;United Kingdom;16/07/2004;1574623;66;English;Released;2 lovers, one summer, and the 9 songs that defined them.;9 Songs;5.1;95;1;1;1
28;31500000;Drama|War;tt0078788;en;Apocalypse Now;"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.";7.620077;United Artists;United States of America;15/08/1979;89460381;153;;Released;This is the end...;Apocalypse Now;8.0;1869;2;1;4
30;0;Animation|Science Fiction;tt1530535;ja;彼女の想いで;Koji Morimato’s animated science fiction short story about how the boarder between reality and illusion on a space station become blurry.;0.811221;Studio 4°C;Japan;23/12/1995;0;44;日本語;Released;;Magnetic Rose;7.7;10;1;1;1
31;0;Action|Animation|Comedy;tt6266826;ja;最臭兵器;Tensai Okamura’s animated action packed short story with lots of humorous elements in which a person transforms into a weapon of mass destruction without themselves being aware.;1.281042;Studio 4°C;Japan;23/12/1995;0;40;日本語;Released;;Stink Bomb;5.3;3;1;1;1
32;0;Animation|History;tt6264824;ja;大砲の街;Otomo Katsuhiro’s short anime story;0.838219;Studio 4°C;Japan;23/12/1995;0;21;日本語;Released;;Cannon Fodder;5.3;3;1;1;1
33;14000000;Western;tt0105695;en;Unforgiven;William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.;3.176169;Malpaso Productions;United States of America;07/08/1992;159157447;131;English;Released;Some legends will never be forgotten. Some wrongs can never be forgiven.;Unforgiven;7.7;1036;2;1;1
35;75000000;Animation|Comedy|Family;tt0462538;en;The Simpsons Movie;After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.;4.864034;Gracie Films;United States of America;25/07/2007;527068851;87;English;Released;See our family. And feel better about yours.;The Simpsons Movie;6.9;2043;2;1;1
38;20000000;Science Fiction|Drama|Romance;tt0338013;en;Eternal Sunshine of the Spotless Mind;Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.;7.056735;Anonymous Content;United States of America;19/03/2004;72258126;108;English;Released;You can erase someone from your mind. Getting them out of your heart is another story.;Eternal Sunshine of the Spotless Mind;7.9;3330;3;1;1
55;2000000;Drama|Thriller;tt0245712;es;Amores perros;"Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.";2.400763;Altavista Films;Mexico;16/06/2000;20908467;154;Español;Released;Love. Betrayal. Death.;Amores perros;7.6;486;2;1;1
58;200000000;Adventure|Fantasy|Action;tt0383574;en;Pirates of the Caribbean: Dead Man's Chest;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.;10.493411;Walt Disney Pictures;Jamaica;20/06/2006;1065659812;151;English;Released;Jack is back!;Pirates of the Caribbean: Dead Man's Chest;6.9;4795;3;4;4
59;32000000;Drama|Thriller|Crime;tt0399146;en;A History of Violence;An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.;2.608147;New Line Cinema;Germany;23/09/2005;60740827;96;English;Released;Tom Stall had the perfect life... until he became a hero.;A History of Violence;6.9;781;3;2;1
62;10500000;Science Fiction|Mystery|Adventure;tt0062622;en;2001: A Space Odyssey;Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.;7.916619;Stanley Kubrick Productions;United Kingdom;05/04/1968;68700000;149;English;Released;An epic drama of adventure and exploration;2001: A Space Odyssey;7.8;2749;2;2;2
63;29500000;Science Fiction|Thriller|Mystery;tt0114746;en;Twelve Monkeys;In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.;5.554498;Universal Pictures;United States of America;29/12/1995;168840000;129;English;Released;The future is history.;Twelve Monkeys;7.4;2227;3;1;2
64;9285469;Drama|Romance;tt0287467;es;Hable con Ella;Two men share an odd friendship while they care for two women who are both in deep comas.;1.854669;Vía Digital;Spain;14/03/2002;51001550;112;Español;Released;;Talk to Her;7.4;240;4;1;1
65;41000000;Drama;tt0298203;en;8 Mile;"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With future and the three one third all he has to do is not choke.";2.878236;Imagine Entertainment;United States of America;08/11/2002;215000000;110;English;Released;Every moment is another chance.;8 Mile;6.8;1490;2;1;1
66;50000000;Crime|Drama|Thriller;tt0118548;en;Absolute Power;A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.;1.731916;Columbia Pictures;United States of America;14/02/1997;50068310;121;English;Released;Corrupts Absolutely.;Absolute Power;6.4;204;3;1;2
67;0;Thriller|Crime|Drama;tt0445620;en;Paradise Now;Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.;0.448294;Lama Films;France;14/02/2005;3357075;90;العربية;Released;From the most unexpected place, come a  new call for peace.;Paradise Now;6.9;59;11;5;2
68;15000000;Comedy|Science Fiction;tt0088846;en;Brazil;Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.;4.740891;Embassy International Pictures;United Kingdom;20/02/1985;0;132;English;Released;It's only a state of mind.;Brazil;7.6;799;1;1;1
69;28000000;Drama|Music|Romance;tt0358273;en;Walk the Line;A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.;2.099303;Tree Line Films;Germany;13/09/2005;186438883;136;English;Released;Love is a burning thing.;Walk the Line;7.3;675;5;2;2
70;30000000;Drama;tt0405159;en;Million Dollar Baby;Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.;4.499157;Lakeshore Entertainment;United States of America;15/12/2004;216763646;132;English;Released;Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.;Million Dollar Baby;7.7;2189;5;1;2
71;5000000;Drama|Comedy|Music;tt0249462;en;Billy Elliot;Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!;2.346058;BBC Films;France;18/05/2000;110000000;110;English;Released;Inside every one of us is a special talent waiting to come out. The trick is finding it.;Billy Elliot;7.4;657;6;2;1
73;20000000;Drama;tt0120586;en;American History X;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.;7.129597;New Line Cinema;United States of America;30/10/1998;23875127;119;English;Released;Some Legacies Must End.;American History X;8.1;2747;3;1;1
74;132000000;Adventure|Thriller|Science Fiction;tt0407304;en;War of the Worlds;Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.;5.685105;Paramount Pictures;United States of America;23/06/2005;591739379;116;English;Released;They're already here.;War of the Worlds;6.1;2098;4;1;1
75;70000000;Comedy|Fantasy|Science Fiction;tt0116996;en;Mars Attacks!;'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.;3.036199;Tim Burton Productions;United States of America;12/12/1996;101371017;106;English;Released;Nice planet. We'll take it!;Mars Attacks!;6.1;1386;1;1;2
76;2500000;Drama|Romance;tt0112471;en;Before Sunrise;A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.;2.848941;Detour Film Production;Austria;27/01/1995;5535405;105;English;Released;Can the greatest romance of your life last only one night?;Before Sunrise;7.7;886;1;3;3
77;9000000;Mystery|Thriller;tt0209144;en;Memento;Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.;7.983032;Summit Entertainment;United States of America;11/10/2000;39723096;113;English;Released;Some memories are best forgotten.;Memento;8.1;3632;4;1;1
78;28000000;Science Fiction|Drama|Thriller;tt0083658;en;Blade Runner;In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.;7.346854;Shaw Brothers;United States of America;25/06/1982;33139618;117;English;Released;Man has made his match... now it's his problem.;Blade Runner;7.9;3222;3;3;5
79;31000000;Drama|Adventure|Action|History;tt0299977;zh;英雄;One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.;3.35901;Beijing New Picture Film Co. Ltd.;China;19/12/2002;177394432;99;普通话;Released;One man's strength will unite an empire.;Hero;7.2;591;2;1;1
80;2700000;Drama|Romance;tt0381681;en;Before Sunset;Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.;1.49093;Castle Rock Entertainment;United States of America;10/02/2004;15992615;80;English;Released;What if you had a second chance with the one that got away?;Before Sunset;7.6;665;3;1;2
81;1000000;Adventure|Animation|Fantasy;tt0087544;ja;風の谷のナウシカ;After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.;2.448449;Topcraft;Japan;11/03/1984;3301446;117;日本語;Released;;Nausicaä of the Valley of the Wind;7.7;732;1;1;1
82;135000000;Action|Adventure|Crime|Thriller;tt0430357;en;Miami Vice;Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.;1.74601;Universal Pictures;Uruguay;27/07/2006;163794509;134;English;Released;No Law. No Rules. No Order.;Miami Vice;5.7;451;5;4;2
83;130000;Drama|Thriller;tt0374102;en;Open Water;Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...;1.980054;Plunge Pictures LLC;United States of America;06/08/2004;54667954;79;English;Released;Scream all you want.;Open Water;5.4;296;1;1;1
85;18000000;Adventure|Action;tt0082971;en;Raiders of the Lost Ark;When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.;7.314292;Lucasfilm;United States of America;12/06/1981;389925971;115;English;Released;Indiana Jones - the new hero from the creators of JAWS and STAR WARS.;Raiders of the Lost Ark;7.7;3601;2;1;6
86;6000000;Drama|Romance;tt0430051;de;Elementarteilchen;Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.;1.228747;MOOVIE - the art of entertainment GmbH;Germany;10/02/2006;0;105;English;Released;;The Elementary Particles;6.6;32;2;2;2
87;28000000;Adventure|Action;tt0087469;en;Indiana Jones and the Temple of Doom;After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.;5.201531;Lucasfilm;United States of America;23/05/1984;333000000;118;English;Released;If adventure has a name... it must be Indiana Jones.;Indiana Jones and the Temple of Doom;7.1;2573;2;1;2
88;6000000;Drama|Music|Romance;tt0092890;en;Dirty Dancing;Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love.;3.809317;Great American Films Limited Partnership;United States of America;21/08/1987;213954274;100;English;Released;Have the time of your life.;Dirty Dancing;7.0;1182;2;1;1
89;48000000;Adventure|Action;tt0097576;en;Indiana Jones and the Last Crusade;When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.;6.340482;Lucasfilm;United States of America;24/05/1989;474171806;127;Deutsch;Released;The man with the hat is back. And this time, he's bringing his Dad.;Indiana Jones and the Last Crusade;7.6;2953;2;1;3
90;15000000;Action|Comedy|Crime;tt0086960;en;Beverly Hills Cop;Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.;2.776869;Paramount Pictures;United States of America;29/11/1984;316360478;105;English;Released;The Heat Is On!;Beverly Hills Cop;6.8;892;2;1;1
91;20000;Documentary;tt0023037;es;Las Hurdes;Las Hurdes – Tierra Sin Pan / Land Without Bread / Unpromised Land is a surrealist documentary filmed in Spain in 1932. It is the result of a two month trip through the Las Hurdes region. The film shows the contrasts between the village and the towns in the north of Extremadura, Salamanca and along the border of Portugal.;0.469322;Ramón Acín;Spain;01/12/1933;0;29;Español;Released;;Land Without Bread;6.6;18;1;1;1
92;0;Documentary;tt0169024;en;Megacities;Megacities is a documentary about the slums of five different metropolitan cities.;0.028148;none;Austria;12/08/1998;0;94;Pусский;Released;;Megacities;7.0;3;0;1;4
93;0;Crime|Drama|Mystery|Thriller;tt0052561;en;Anatomy of a Murder;The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife.;1.065305;Columbia Pictures;United States of America;01/07/1959;0;160;English;Released;No search of human emotions has ever probed so deeply, so truthfully as ... Anatomy of a Murder.;Anatomy of a Murder;7.7;193;1;1;1
94;0;Comedy;tt0436488;en;Kunstgriff;Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.;0.011348;Hamburger Filmschule;Germany;01/01/2002;0;6;Deutsch;Released;;Kunstgriff;0.0;0;1;1;1
95;140000000;Action|Thriller|Science Fiction|Adventure;tt0120591;en;Armageddon;When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.;5.552136;Jerry Bruckheimer Films;United States of America;01/07/1998;553799566;151;English;Released;The Earth's Darkest Day Will Be Man's Finest Hour;Armageddon;6.4;2314;3;1;2
96;20000000;Action|Comedy|Crime;tt0092644;en;Beverly Hills Cop II;Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.;3.294067;Paramount Pictures;United States of America;18/05/1987;299965036;100;English;Released;;Beverly Hills Cop II;6.1;573;3;1;1
97;17000000;Science Fiction|Action|Adventure;tt0084827;en;Tron;"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.";3.169066;Walt Disney Pictures;United States of America;09/07/1982;33000000;96;English;Released;A world inside the computer where man has never been.  Until now.;Tron;6.6;678;2;1;1
98;103000000;Action|Drama|Adventure;tt0172495;en;Gladiator;In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.;7.608045;DreamWorks SKG;United Kingdom;01/05/2000;457640427;155;English;Released;A Hero Will Rise.;Gladiator;7.8;5061;7;2;1
99;8272296;Comedy|Drama;tt0185125;es;Todo sobre mi madre;A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.;2.888807;Renn Productions;France;19/04/1999;67872296;101;Español;Released;Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.;All About My Mother;7.4;290;2;2;1
